序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
82,408,*ST藏格,藏格控股股份有限公司,海西蒙古族藏族自治州,格尔木市,31.73亿,12.17亿,1707,1996-06-28,--,,钾肥,--,钾肥(氯化钾)的生产和销售。
83,409,ST地矿,山东地矿股份有限公司,济南市,历城区,14.30亿,-2.71亿,1450,1996-06-27,--,,综合,--,矿业开发、医药制造、特种轮胎制造、贸易和房地产开发
84,410,*ST沈机,沈阳机床股份有限公司,沈阳市,于洪区,41.89亿,1.08亿,7965,1996-07-18,--,,机床设备,--,金属切削机床制造
85,411,英特集团,浙江英特集团股份有限公司,杭州市,下城区,189.07亿,1.91亿,--,1996-07-16,--,,医药商业,--,主要从事药品及医疗器械批发业务
86,413,东旭光电,东旭光电科技股份有限公司,石家庄市,石家庄市,172.77亿,19.21亿,4986,1996-09-25,--,,显示器件,--,电真空玻璃器件及其配套电子元器件的生产与销售和平板显示玻璃基板及其装备的研发、生产与销售等
87,415,渤海租赁,渤海租赁股份有限公司,乌鲁木齐市,沙依巴克区,359.34亿,31.56亿,652,1996-07-16,--,,其他非银行金融,--,从事飞机租赁业务，集装箱租赁业务及境内基础设施，高端设备，商业物业，新能源等租赁业务。
88,416,民生控股,民生控股股份有限公司,青岛市,崂山区,7141.84万,2976.15万,50,1996-07-19,--,,其他非银行金融,--,典当业务及保险经纪业务
89,417,合肥百货,合肥百货大楼集团股份有限公司,合肥市,庐阳区,103.90亿,2.96亿,9561,1996-08-12,--,,百货,--,百货零售业、农产品交易市场两大类业务
90,418,小天鹅A,无锡小天鹅股份有限公司,无锡市,无锡市,213.85亿,17.08亿,11459,1997-03-28,--,,洗衣机,主营业务:家用洗衣机的研发、生产和销售,家用洗衣机的研发、生产和销售
91,419,通程控股,长沙通程控股股份有限公司,长沙市,雨花区,40.45亿,1.48亿,2807,1996-08-16,--,,百货,--,商业零售业、典当业及旅游酒店业
92,420,吉林化纤,吉林化纤股份有限公司,吉林市,昌邑区,21.98亿,8542.14万,5520,1996-08-02,--,,粘胶纤维,--,从事粘胶纤维的生产和销售，从事醋酐的生产和研发。
93,421,南京公用,南京公用发展股份有限公司,南京市,建邺区,36.09亿,2.49亿,3412,1996-08-06,--,,燃气,--,客运业务、燃气业务及房地产业务
94,422,ST宜化,湖北宜化化工股份有限公司,宜昌市,猇亭区,119.55亿,-51.47亿,8401,1996-08-15,--,,氮肥,--,化肥产品(尿素、磷酸二铵等)、化工产品(聚氯乙烯、烧碱等)的生产、销售。
95,423,东阿阿胶,东阿阿胶股份有限公司,聊城市,东阿县,73.72亿,20.44亿,4952,1996-07-29,--,,中药生产,--,从事阿胶及阿胶系列产品的研发、生产和销售业务
96,425,徐工机械,徐工集团工程机械股份有限公司,徐州市,鼓楼区,291.31亿,10.29亿,14449,1996-08-28,--,,工程机械,--,主要从事工程起重机械、铲运机械、压实机械、混凝土机械、路面机械、消防机械、其他工程机械及工程机械备件的研发、制造和销售。
97,426,兴业矿业,内蒙古兴业矿业股份有限公司,赤峰市,松山区,21.11亿,5.54亿,332,1996-08-28,--,,铅锌,--,有色金属采选及冶炼
98,428,华天酒店,华天酒店集团股份有限公司,长沙市,芙蓉区,10.63亿,-7069.54万,4450,1996-08-08,--,,酒店,--,住宿、餐饮。
99,429,粤高速A,广东省高速公路发展股份有限公司,广州市,越秀区,30.89亿,17.10亿,2154,1998-02-20,--,,高速公路,--,收费高速公路、桥梁的投资、建设、收费和养护管理。
100,430,张家界,张家界旅游集团股份有限公司,张家界市,永定区,5.50亿,6602.45万,1118,1996-08-29,--,,景区,--,旅游项目经营；旅游客运；旅行社经营；其他：酒店经营、房屋租赁、广告代理等
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
101,488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,潍坊市,寿光市,294.72亿,37.59亿,12649,2000-11-20,--,,造纸,--,机制纸及板纸和造纸原料、造纸机械、电力、热力的生产与销售
102,498,山东路桥,山东高速路桥集团股份有限公司,济南市,市中区,123.85亿,5.78亿,10394,1997-06-09,--,,路桥建设,--,路桥工程施工与养护施工
103,501,鄂武商A,武汉武商集团股份有限公司,武汉市,江汉区,181.22亿,12.41亿,9376,1992-11-20,--,,百货,--,商业零售及批发业务
104,502,绿景控股,绿景控股股份有限公司,广州市,海珠区,2206.13万,-8477.38万,133,1992-11-23,--,,房地产开发,--,从事房地产开发及物业管理业务
105,503,国新健康,国新健康保障服务集团股份有限公司,海口市,龙华区,1.84亿,-29.97万,1157,1992-11-30,--,,电子商务B2B,--,医药电子商务、医疗福利管理等
106,504,ST生物,南华生物医药股份有限公司,长沙市,天心区,6739.30万,-3624.92万,351,1992-12-08,--,,节能环保,--,生物医药、节能环保
107,505,京粮控股,海南京粮控股股份有限公司,海口市,龙华区,79.18亿,2.09亿,2971,1992-12-21,--,,房地产开发,--,植物油加工及食品制造。
108,506,中润资源,中润资源投资股份有限公司,济南市,历下区,7.69亿,-4.75亿,1500,1993-03-12,--,,黄金,--,矿业投资与房地产开发
109,507,珠海港,珠海港股份有限公司,珠海市,珠海市,19.60亿,1.66亿,2420,1993-03-26,--,,港口,--,港口及其配套设施的项目投资；电力项目投资；玻璃纤维制品项目投资；饮料项目投资；化工原料及化工产品项目投资。
110,509,*ST华塑,华塑控股股份有限公司,南充市,顺庆区,22.41亿,1237.43万,62,1993-05-07,--,,其他建材,--,园林工程、大宗商品贸易。
111,510,新金路,四川新金路集团股份有限公司,德阳市,旌阳区,17.28亿,4228.80万,2485,1993-05-07,--,,氯碱,--,从事PCV树脂和烧碱的生产与销售
112,511,烯碳退,银基烯碳新材料集团股份有限公司,沈阳市,沈河区,24.12亿,1.07亿,160,1993-05-18,--,,非金属新材料,"主营业务:石墨类产品、石墨烯及纳米碳、碳素类产品、耐火材料、活性碳类产品、烯碳新材料、稀土碳基复合材料、矿产品、金属和非金属材料销售(不含危险化学品),烯碳新材料技术开发和技术转让,城市基础设施投资等。","石墨类产品、石墨烯及纳米碳、碳素类产品、耐火材料、活性碳类产品、烯碳新材料、稀土碳基复合材料、矿产品、金属和非金属材料销售(不含危险化学品),烯碳新材料技术开发和技术转让,城市基础设施投资等。"
113,513,丽珠集团,丽珠医药集团股份有限公司,珠海市,金湾区,85.31亿,44.88亿,9019,1993-10-28,--,,化学制剂,--,研究、开发、生产和销售医药产品。
114,514,渝开发,重庆渝开发股份有限公司,重庆市,渝中区,10.41亿,9849.10万,766,1993-07-12,--,,房地产开发,--,主要从事房地产开发、房屋销售及租赁、物业管理、会展经营、酒店经营管理、市政工程代理。
115,516,国际医学,西安国际医学投资股份有限公司,西安市,碑林区,40.60亿,1.90亿,6225,1993-08-09,--,,百货,--,大健康医疗服务和现代医学技术转化应用
116,517,荣安地产,荣安地产股份有限公司,宁波市,海曙区,42.64亿,5.42亿,1595,1993-08-06,--,,房地产开发,--,从事房地产开发、经营；物业服务；建设工程承包等
117,518,四环生物,江苏四环生物股份有限公司,无锡市,江阴市,3.46亿,1065.03万,331,1993-09-08,--,,生物医药,--,药品、保健品的研发、生产和销售
118,519,中兵红箭,中兵红箭股份有限公司,湘潭市,湘潭市,47.75亿,1.20亿,8342,1993-10-08,--,,超硬材料,--,超硬材料及其制品和内燃机配件的研发、生产、销售
119,520,长航凤凰,长航凤凰股份有限公司,武汉市,江汉区,8.32亿,5081.98万,293,1993-10-25,--,,航运,--,从事干货运输
120,521,长虹美菱,长虹美菱股份有限公司,合肥市,蜀山区,167.97亿,3609.45万,--,1993-10-18,--,,冰箱、空调,--,冰箱、冰柜、空调、洗衣机白色家电产品研发、生产与销售。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
121,523,广州浪奇,广州市浪奇实业股份有限公司,广州市,天河区,118.11亿,3379.96万,1055,1993-11-08,--,,洗涤产品,--,日化产品的生产及化工原材料的生产和销售
122,524,岭南控股,广州岭南集团控股股份有限公司,广州市,越秀区,63.92亿,1.85亿,6116,1993-11-18,--,,餐饮,--,为集商旅出行、住宿、会展、景区、汽车服务等业务为一体
123,525,红太阳,南京红太阳股份有限公司,南京市,高淳区,50.72亿,7.23亿,3395,1993-10-28,--,,农药,--,原药和制剂产品的生产销售、化肥生态肥的销售
124,526,紫光学大,厦门紫光学大股份有限公司,厦门市,湖里区,28.12亿,2258.00万,14098,1993-11-01,--,,教育培训,--,教育培训服务
125,528,柳工,广西柳工机械股份有限公司,柳州市,柳南区,119.39亿,3.69亿,10334,1993-11-18,--,,工程机械,--,装载机、挖掘机、起重机、压路机、叉车、平地机、推土机、铣刨机、摊铺机、滑移装载机、挖掘装载机等工程机械及配件的生产、销售，以及融资租赁业务
126,529,广弘控股,广东广弘控股股份有限公司,广州市,天河区,23.06亿,1.56亿,1647,1993-11-18,--,,肉制品,--,肉类食品供应和教育出版物发行
127,530,冰山冷热,冰山冷热科技股份有限公司,大连市,沙河口区,20.80亿,2.05亿,1582,1993-12-08,--,,制冷空调设备,--,工业制冷、食品冷冻冷藏、中央及商用空调以及制冷部件等制冷设备的生产和安装。
128,531,穗恒运A,广州恒运企业集团股份有限公司,广州市,萝岗区,29.65亿,2.02亿,1185,1994-01-06,--,,火电,--,电力、热力的生产和销售
129,532,华金资本,珠海华金资本股份有限公司,珠海市,香洲区,4.79亿,6476.27万,610,1994-01-03,--,,电子零部件,--,从事投资与资产管理、电子设备制造、电子器件制造、水质净化等业务。
130,533,顺钠股份,广东顺钠电气股份有限公司,佛山市,顺德区,82.67亿,6662.72万,1279,1994-01-03,--,,厨卫电器,--,输配电设备业务、供应链管理业务
131,534,万泽股份,万泽实业股份有限公司,汕头市,龙湖区,2.55亿,7720.06万,861,1994-01-10,--,,房地产开发,--,微生态制剂、高温合金的研发、生产及销售
132,536,*ST华映,华映科技(集团)股份有限公司,福州市,马尾区,48.89亿,1.98亿,3300,1993-11-26,--,,显示器件,--,从事新型平板显示器件、液晶显示屏、模组及零部件的研发、设计、生产、销售和售后服务。
133,537,广宇发展,天津广宇发展股份有限公司,天津市,滨海新区,216.43亿,22.18亿,2251,1993-12-10,--,,房地产开发,--,房地产开发与销售
